household_id;municipality_id;grid_id;HLA;HSC;HSI;age;SEX;AG2;EMP
053620008008-0;053620008008;100mN30993E40841;PO;NA;3;55;F;5064;NEP
053620008008-0;053620008008;100mN30993E40841;PO;NA;3;58;M;5064;EMP
053620008008-0;053620008008;100mN30993E40841;PO;NA;3;20;F;1824;NEP
053620008008-1;053620008008;100mN30993E40854;S;NA;1;47;F;4049;NEP
053620008008-2;053620008008;100mN31007E40888;MC;NA;5;20;M;1824;EMP
053620008008-2;053620008008;100mN31007E40888;MC;NA;5;18;F;1824;EMP
053620008008-2;053620008008;100mN31007E40888;MC;NA;5;2;F;0003;NEP
053620008008-2;053620008008;100mN31007E40888;MC;NA;5;1;M;0003;NEP
053620008008-2;053620008008;100mN31007E40888;MC;NA;5;4;F;0305;NEP
053620008008-3;053620008008;100mN30997E40927;S;OS;1;22;F;1824;EMP
053620008008-4;053620008008;100mN30992E40853;MC;NA;4;55;F;5064;EMP
053620008008-4;053620008008;100mN30992E40853;MC;NA;4;56;M;5064;EMP
053620008008-4;053620008008;100mN30992E40853;MC;NA;4;9;F;0614;NEP
053620008008-4;053620008008;100mN30992E40853;MC;NA;4;13;M;0614;NEP
053620008008-5;053620008008;100mN30987E40851;S;OS;1;87;F;75XX;NEP
053620008008-6;053620008008;100mN30969E40885;S;NA;1;26;M;2529;NEP
053620008008-7;053620008008;100mN31013E40879;S;NA;1;63;F;5064;NEP
053620008008-8;053620008008;100mN31013E40819;S;NA;1;81;M;75XX;EMP
053620008008-9;053620008008;100mN30960E40857;S;OS;1;56;F;5064;EMP
053620008008-10;053620008008;100mN31007E40888;MC;NA;2;26;F;2529;EMP
053620008008-10;053620008008;100mN31007E40888;MC;NA;2;18;M;1824;EMP
053620008008-11;053620008008;100mN30975E40841;MC;NA;5;37;M;3039;NEP
053620008008-11;053620008008;100mN30975E40841;MC;NA;5;40;M;4049;EMP
053620008008-11;053620008008;100mN30975E40841;MC;NA;5;12;M;0614;NEP
053620008008-11;053620008008;100mN30975E40841;MC;NA;5;4;M;0305;NEP
053620008008-11;053620008008;100mN30975E40841;MC;NA;5;9;M;0614;NEP
053620008008-12;053620008008;100mN31007E40888;S;OS;1;38;M;3039;NEP
053620008008-13;053620008008;100mN31007E40888;MC;NA;4;47;M;4049;NEP
053620008008-13;053620008008;100mN31007E40888;MC;NA;4;44;M;4049;EMP
053620008008-13;053620008008;100mN31007E40888;MC;NA;4;31;M;3039;NEP
053620008008-13;053620008008;100mN31007E40888;MC;NA;4;19;M;1824;NEP
053620008008-14;053620008008;100mN31007E40888;S;NA;1;59;F;5064;EMP
053620008008-15;053620008008;100mN30983E40857;MC;MIX;5;65;F;6574;NEP
053620008008-15;053620008008;100mN30983E40857;MC;MIX;5;44;F;4049;NEP
053620008008-15;053620008008;100mN30983E40857;MC;MIX;5;41;F;4049;UEP
053620008008-15;053620008008;100mN30983E40857;MC;MIX;5;26;F;2529;NEP
053620008008-15;053620008008;100mN30983E40857;MC;MIX;5;9;F;0614;NEP
053620008008-16;053620008008;100mN31007E40888;MC;MIX;2;84;F;75XX;EMP
053620008008-16;053620008008;100mN31007E40888;MC;MIX;2;54;F;5064;NEP
053620008008-17;053620008008;100mN30982E40847;S;NA;1;71;M;6574;NEP
053620008008-18;053620008008;100mN31005E40931;PO;NA;5;43;M;4049;EMP
053620008008-18;053620008008;100mN31005E40931;PO;NA;5;35;M;3039;NEP
053620008008-18;053620008008;100mN31005E40931;PO;NA;5;26;M;2529;EMP
053620008008-18;053620008008;100mN31005E40931;PO;NA;5;16;F;1517;EMP
053620008008-18;053620008008;100mN31005E40931;PO;NA;5;2;F;0003;NEP
053620008008-19;053620008008;100mN31007E40888;S;OS;1;31;M;3039;UEP
053620008008-20;053620008008;100mN30959E40862;MC;NA;2;57;F;5064;NEP
053620008008-20;053620008008;100mN30959E40862;MC;NA;2;63;M;5064;EMP
053620008008-21;053620008008;100mN31007E40888;PO;NA;2;32;M;3039;EMP
053620008008-21;053620008008;100mN31007E40888;PO;NA;2;33;M;3039;NEP
053620008008-22;053620008008;100mN31007E40888;MC;NA;5;50;F;5064;EMP
053620008008-22;053620008008;100mN31007E40888;MC;NA;5;62;F;5064;NEP
