household_id;municipality_id;grid_id;HLA;HSC;HSI;age;SEX;AG2;EMP
059780036036-0;059780036036;100mN31612E41662;SF;NA;2;43;F;4049;EMP
059780036036-0;059780036036;100mN31612E41662;SF;NA;2;4;F;0305;NEP
059780036036-1;059780036036;100mN31580E41574;MC;NA;2;37;M;3039;EMP
059780036036-1;059780036036;100mN31580E41574;MC;NA;2;35;M;3039;NEP
059780036036-2;059780036036;100mN31614E41691;MC;NA;2;41;F;4049;NEP
059780036036-2;059780036036;100mN31614E41691;MC;NA;2;43;F;4049;NEP
059780036036-3;059780036036;100mN31618E41607;S;NA;1;47;M;4049;EMP
059780036036-4;059780036036;100mN31617E41630;MC;OS;2;81;F;75XX;EMP
059780036036-4;059780036036;100mN31617E41630;MC;OS;2;84;M;75XX;NEP
059780036036-5;059780036036;100mN31630E41614;MC;NA;4;63;F;5064;EMP
059780036036-5;059780036036;100mN31630E41614;MC;NA;4;65;M;6574;NEP
059780036036-5;059780036036;100mN31630E41614;MC;NA;4;12;M;0614;NEP
059780036036-5;059780036036;100mN31630E41614;MC;NA;4;6;F;0614;NEP
059780036036-6;059780036036;100mN31630E41614;MC;OS;3;77;F;75XX;EMP
059780036036-6;059780036036;100mN31630E41614;MC;OS;3;80;M;75XX;EMP
059780036036-6;059780036036;100mN31630E41614;MC;OS;3;77;M;75XX;NEP
059780036036-7;059780036036;100mN31599E41599;S;OS;1;25;M;2529;EMP
059780036036-8;059780036036;100mN31599E41599;MC;OS;2;79;F;75XX;NEP
059780036036-8;059780036036;100mN31599E41599;MC;OS;2;82;F;75XX;NEP
059780036036-9;059780036036;100mN31604E41612;MC;MIX;2;71;F;6574;EMP
059780036036-9;059780036036;100mN31604E41612;MC;MIX;2;21;M;1824;NEP
059780036036-10;059780036036;100mN31599E41599;S;NA;1;54;F;5064;EMP
059780036036-11;059780036036;100mN31599E41599;MC;NA;2;36;M;3039;EMP
059780036036-11;059780036036;100mN31599E41599;MC;NA;2;27;M;2529;NEP
059780036036-12;059780036036;100mN31599E41599;MC;OS;2;71;M;6574;EMP
059780036036-12;059780036036;100mN31599E41599;MC;OS;2;71;F;6574;NEP
059780036036-13;059780036036;100mN31623E41657;S;NA;1;41;F;4049;NEP
059780036036-14;059780036036;100mN31594E41599;MC;OS;3;65;M;6574;NEP
059780036036-14;059780036036;100mN31594E41599;MC;OS;3;71;F;6574;NEP
059780036036-14;059780036036;100mN31594E41599;MC;OS;3;87;M;75XX;EMP
059780036036-15;059780036036;100mN31599E41599;MC;NA;2;27;F;2529;NEP
059780036036-15;059780036036;100mN31599E41599;MC;NA;2;28;M;2529;EMP
059780036036-16;059780036036;100mN31637E41608;MC;NA;2;40;F;4049;NEP
059780036036-16;059780036036;100mN31637E41608;MC;NA;2;40;F;4049;NEP
059780036036-17;059780036036;100mN31594E41595;S;OS;1;32;M;3039;EMP
059780036036-18;059780036036;100mN31599E41599;S;NA;1;21;M;1824;UEP
059780036036-19;059780036036;100mN31610E41579;MC;NA;2;55;M;5064;EMP
059780036036-19;059780036036;100mN31610E41579;MC;NA;2;54;M;5064;EMP
059780036036-20;059780036036;100mN31605E41599;MC;NA;4;58;M;5064;NEP
059780036036-20;059780036036;100mN31605E41599;MC;NA;4;56;F;5064;NEP
059780036036-20;059780036036;100mN31605E41599;MC;NA;4;35;M;3039;EMP
059780036036-20;059780036036;100mN31605E41599;MC;NA;4;34;M;3039;NEP
059780036036-21;059780036036;100mN31599E41599;S;OS;1;76;M;75XX;EMP
059780036036-22;059780036036;100mN31621E41658;MC;NA;2;43;M;4049;EMP
059780036036-22;059780036036;100mN31621E41658;MC;NA;2;38;M;3039;EMP
059780036036-23;059780036036;100mN31613E41599;SF;NA;3;55;M;5064;UEP
059780036036-23;059780036036;100mN31613E41599;SF;NA;3;16;M;1517;EMP
059780036036-23;059780036036;100mN31613E41599;SF;NA;3;22;M;1824;NEP
059780036036-24;059780036036;100mN31631E41602;S;OS;1;69;F;6574;EMP
059780036036-25;059780036036;100mN31599E41599;S;NA;1;30;F;3039;NEP
059780036036-26;059780036036;100mN31630E41571;MC;NA;4;32;M;3039;NEP
059780036036-26;059780036036;100mN31630E41571;MC;NA;4;34;M;3039;UEP
059780036036-26;059780036036;100mN31630E41571;MC;NA;4;13;M;0614;NEP
059780036036-26;059780036036;100mN31630E41571;MC;NA;4;6;M;0614;NEP
059780036036-27;059780036036;100mN31599E41596;SF;NA;3;61;F;5064;NEP
059780036036-27;059780036036;100mN31599E41596;SF;NA;3;10;M;0614;NEP
059780036036-27;059780036036;100mN31599E41596;SF;NA;3;9;M;0614;NEP
059780036036-28;059780036036;100mN31599E41599;MC;OS;4;76;F;75XX;NEP
059780036036-28;059780036036;100mN31599E41599;MC;OS;4;84;F;75XX;EMP
059780036036-28;059780036036;100mN31599E41599;MC;OS;4;69;M;6574;UEP
059780036036-28;059780036036;100mN31599E41599;MC;OS;4;83;M;75XX;NEP
059780036036-29;059780036036;100mN31599E41599;MC;NA;4;45;M;4049;EMP
059780036036-29;059780036036;100mN31599E41599;MC;NA;4;45;M;4049;EMP
059780036036-29;059780036036;100mN31599E41599;MC;NA;4;3;M;0305;NEP
059780036036-29;059780036036;100mN31599E41599;MC;NA;4;25;F;2529;EMP
059780036036-30;059780036036;100mN31599E41599;MC;OS;2;72;M;6574;EMP
059780036036-30;059780036036;100mN31599E41599;MC;OS;2;68;M;6574;EMP
059780036036-31;059780036036;100mN31595E41599;MC;NA;2;19;F;1824;NEP
059780036036-31;059780036036;100mN31595E41599;MC;NA;2;26;M;2529;NEP
059780036036-32;059780036036;100mN31599E41599;S;NA;1;34;M;3039;EMP
059780036036-33;059780036036;100mN31630E41598;MC;NA;2;61;M;5064;EMP
059780036036-33;059780036036;100mN31630E41598;MC;NA;2;63;F;5064;NEP
059780036036-34;059780036036;100mN31607E41569;S;NA;1;51;F;5064;NEP
059780036036-35;059780036036;100mN31596E41595;MC;NA;2;54;F;5064;NEP
059780036036-35;059780036036;100mN31596E41595;MC;NA;2;63;M;5064;UEP
059780036036-36;059780036036;100mN31636E41580;MC;MIX;4;69;M;6574;NEP
059780036036-36;059780036036;100mN31636E41580;MC;MIX;4;46;F;4049;NEP
059780036036-36;059780036036;100mN31636E41580;MC;MIX;4;48;M;4049;EMP
059780036036-36;059780036036;100mN31636E41580;MC;MIX;4;30;F;3039;EMP
059780036036-37;059780036036;100mN31607E41605;MC;NA;4;44;F;4049;EMP
059780036036-37;059780036036;100mN31607E41605;MC;NA;4;46;M;4049;NEP
059780036036-37;059780036036;100mN31607E41605;MC;NA;4;28;M;2529;EMP
059780036036-37;059780036036;100mN31607E41605;MC;NA;4;9;F;0614;NEP
059780036036-38;059780036036;100mN31599E41598;PO;OS;2;67;F;6574;NEP
059780036036-38;059780036036;100mN31599E41598;PO;OS;2;68;M;6574;EMP
059780036036-39;059780036036;100mN31617E41600;S;NA;1;66;M;6574;NEP
059780036036-40;059780036036;100mN31609E41606;MC;NA;2;55;M;5064;EMP
059780036036-40;059780036036;100mN31609E41606;MC;NA;2;52;F;5064;NEP
059780036036-41;059780036036;100mN31630E41586;MC;OS;2;72;F;6574;EMP
059780036036-41;059780036036;100mN31630E41586;MC;OS;2;73;F;6574;NEP
059780036036-42;059780036036;100mN31606E41583;S;NA;1;56;F;5064;EMP
059780036036-43;059780036036;100mN31633E41606;SF;NA;2;41;F;4049;EMP
059780036036-43;059780036036;100mN31633E41606;SF;NA;2;21;M;1824;EMP
059780036036-44;059780036036;100mN31616E41581;MC;NA;3;62;F;5064;EMP
059780036036-44;059780036036;100mN31616E41581;MC;NA;3;62;F;5064;EMP
059780036036-44;059780036036;100mN31616E41581;MC;NA;3;0;F;0003;NEP
059780036036-45;059780036036;100mN31617E41638;MC;MIX;4;70;F;6574;NEP
059780036036-45;059780036036;100mN31617E41638;MC;MIX;4;63;M;5064;NEP
059780036036-45;059780036036;100mN31617E41638;MC;MIX;4;59;F;5064;EMP
059780036036-45;059780036036;100mN31617E41638;MC;MIX;4;10;M;0614;NEP
059780036036-46;059780036036;100mN31599E41598;PO;OS;2;71;F;6574;NEP
059780036036-46;059780036036;100mN31599E41598;PO;OS;2;85;M;75XX;NEP
059780036036-47;059780036036;100mN31641E41608;S;OS;1;43;F;4049;EMP
059780036036-48;059780036036;100mN31599E41598;MC;NA;2;51;M;5064;NEP
059780036036-48;059780036036;100mN31599E41598;MC;NA;2;46;M;4049;EMP
059780036036-49;059780036036;100mN31599E41602;MC;NA;2;37;M;3039;NEP
059780036036-49;059780036036;100mN31599E41602;MC;NA;2;41;M;4049;EMP
059780036036-50;059780036036;100mN31610E41608;S;NA;1;19;F;1824;NEP
059780036036-51;059780036036;100mN31608E41609;MC;NA;3;58;M;5064;EMP
059780036036-51;059780036036;100mN31608E41609;MC;NA;3;57;M;5064;NEP
059780036036-51;059780036036;100mN31608E41609;MC;NA;3;15;M;1517;UEP
059780036036-52;059780036036;100mN31599E41598;MC;NA;2;34;F;3039;EMP
059780036036-52;059780036036;100mN31599E41598;MC;NA;2;42;M;4049;NEP
059780036036-53;059780036036;100mN31597E41594;MC;MIX;2;66;F;6574;EMP
059780036036-53;059780036036;100mN31597E41594;MC;MIX;2;82;F;75XX;EMP
